household_id,client_primary_id,client_primary_first_name,client_primary_last_name,client_primary_dob,spouse_partner_id,spouse_first_name,spouse_last_name,spouse_dob,marital_status,dependents_count,dependents_ages,address_line1,address_city,address_state,address_zip,email_primary,phone_primary,advisor_name,last_review_date,next_review_date,as_of_date,risk_tolerance_1to5,time_horizon_years,investment_objective_primary,tax_filing_status,state_of_residence,federal_marginal_tax_rate_pct,state_tax_rate_pct,income_w2_annual,income_1099_annual,spouse_income_annual,other_income_annual,monthly_expenses_fixed,monthly_expenses_variable,savings_rate_pct,emergency_fund_target_months,goal_1_desc,goal_1_target_date,goal_1_target_amount,goal_1_priority_1to5,goal_2_desc,goal_2_target_date,goal_2_target_amount,goal_2_priority_1to5,goal_3_desc,goal_3_target_date,goal_3_target_amount,goal_3_priority_1to5,estate_docs_will_on_file,estate_docs_trust_type,estate_docs_last_updated,healthcare_proxy_on_file,powers_of_attorney_on_file,charitable_intent,record_level,sub_type,account_id,account_name,registration,tax_status,custodian,owner,beneficiary_primary,beneficiary_contingent,is_employer_sponsored,employer_name,employer_match_pct,employer_match_cap_pct,vesting_schedule,rmd_required,auto_contribution_amount,auto_contribution_frequency,account_contribution_ytd,account_contribution_annual_goal,position_type,symbol,cusip,description,asset_class,sector,currency,quantity,price,market_value,cost_basis_total,unrealized_gain_loss,expense_ratio_pct,yield_pct,coupon_pct,maturity_date,duration_years,risk_beta,risk_stddev_pct,property_address,property_type,property_est_value,property_purchase_price,property_purchase_date,liens,mortgage_lender,mortgage_balance,mortgage_rate_pct,mortgage_payment_monthly,mortgage_maturity_date,heloc_balance,insurance_policy_type,insurance_carrier,policy_number,face_amount,annual_premium,premium_mode,cash_surrender_value,policy_loan_balance,riders,annuity_type,annuity_income_start_date,annuity_income_amount,student_beneficiary_name,education_account_owner,education_goal_amount,education_target_year,equity_comp_plan_type,grant_id,grant_date,shares_granted,shares_vested,shares_unvested,strike_price,expiration_date,espp_discount_pct,espp_lookback,next_vest_date,debt_interest_rate_pct,debt_min_payment,debt_credit_limit,wallet_or_fund_name,althead_class,chain_or_vehicle,metric_name,metric_value,metric_period_label,notes
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liquidity Ratio,3.2x monthly expenses,Q2-2025,Target ≥ 3x.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-401K-01,Vanguard 401(k),Individual,Tax-Deferred,Vanguard,Alex,,,,,,,,,,,,,Fund,VBTLX,,Vanguard Total Bond Market Index Admiral,US Bond,,USD,2222.3427,11.0,24445.77,,,0.05,2.8,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core bond allocation
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-401K-01,Vanguard 401(k),Individual,Tax-Deferred,Vanguard,Alex,,,,,,,,,,,,,Fund,VTIAX,,Vanguard Total International Stock Index Admiral,Intl Equity,,USD,543.2393,30.0,16297.18,,,0.11,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International equity diversification
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,Brokerage,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,Transfer on Death|Kids|100%,,,,,,,,2000,Monthly,12000,24000,,,,,,,USD,,,245000,210000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direct indexing overlay planned.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,,,,,,,,,,,,,ETF,VTI,,Vanguard Total Stock Market ETF,US Equity,,USD,600.0,240.0,144000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,,,,,,,,,,,,,ETF,VXUS,,Vanguard Total International Stock ETF,Intl Equity,,USD,400.0,60.0,24000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,,,,,,,,,,,,,Stock,AAPL,,Apple Inc.,US Equity,,USD,150.0,220.0,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,,,,,,,,,,,,,ETF,BND,,Vanguard Total Bond Market ETF,US Bond,,USD,400.0,73.0,29200,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Cash,A-TAX-01,Fidelity Taxable,Joint,Taxable,Fidelity,Alex & Taylor,,,,,,,,,,,,,Cash,CASH,,Brokerage Cash Sweep,Cash,,USD,,,14800,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweep/MMF
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,Checking,BANK-CHK-01,Chase Checking,Joint,Taxable,Chase,Alex & Taylor,,,,,,,,,,,,,,,,,,,USD,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational cash
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,Savings,BANK-SAV-01,Ally High-Yield Savings,Joint,Taxable,Ally Bank,Alex & Taylor,,,,,,,,,,,,,,,,,,,USD,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency fund
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,HSA,HSA-01,Fidelity HSA,Individual,Tax-Exempt,Fidelity,Alex,,,,,,,,,312.5,Monthly,1875,3750,,,,,,,USD,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSA eligible HDHP
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,Roth IRA,ROTH-01,Vanguard Roth IRA,Individual,Tax-Exempt,Vanguard,Alex,,,,,,,,,,,7000,7000,,,,,,,USD,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxing annual contribution
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,ROTH-01,Vanguard Roth IRA,Individual,Tax-Exempt,Vanguard,Alex,,,,,,,,,,,,,ETF,VTI,,Vanguard Total Stock Market ETF,US Equity,,USD,166.6667,240.0,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,ROTH-01,Vanguard Roth IRA,Individual,Tax-Exempt,Vanguard,Alex,,,,,,,,,,,,,ETF,BND,,Vanguard Total Bond Market ETF,US Bond,,USD,273.9726,73.0,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,Pension,PEN-01,TechCo Defined Benefit Plan,Individual,Taxable,TechCo,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pension,2054-03-01,24000,,,,,,,,,,,,,,,,,,,,,,,,,Early retirement reduction applies if before 65
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,529,EDU-529-02,CA 529 - Child 2,Owner: Alex | Beneficiary: Kid2,529,CA ScholarShare,Alex,,,,,,,,,,,3000,5000,,,,,,,,,,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rivera Child 2,Alex Rivera,150000,2045,,,,,,,,,,,,,,,,,,,,,Age-based aggressive track
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,LifeInsurance,GRP-LIFE-01,Group Term Life - Alex,Employee,N/A,TechCo,Alex,Taylor Rivera|Spouse|100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroupTerm,TechCo,,330000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer-paid 2x salary
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,LifeInsurance,DI-01,Long-Term Disability - Alex,Individual,N/A,Guardian,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,Guardian,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DI monthly benefit $6,000; 90-day elimination; to age 65"
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,LifeInsurance,LTC-01,Long-Term Care - Alex,Individual,N/A,Mutual of Omaha,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC,Mutual of Omaha,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benefit ~$180/day, 3-year term, 90-day elimination"
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EquityComp,ESPP,EQ-ESPP-01,TechCo ESPP,Employee,Taxable at sale,Fidelity Stock Plan,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPP,ESPP-2025-H1,2025-06-01,300,0,300,,,15.0,Yes,,,,,,,,,,,6-month purchase period; payroll deductions active
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liability,CreditCard,CC-01,Chase Sapphire,Individual,N/A,Chase,Alex,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99,75,20000,,,,,,,Pay in full monthly when possible
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asset Allocation,Real Assets 76.4% | Equity 18.6% | Bonds 3.4% | Alternatives 0.9% | Cash 0.7% | Other 0.0%,AsOf 2025-08-16,Computed from Positions only
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liquidity Ratio,8.8x monthly expenses,AsOf 2025-08-16,"Cash considered: $61,800; Expenses: $7,000/mo"
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Worth,"$1,355,640",AsOf 2025-08-16,"Assets: $2,214,840; Liabilities: $859,200"
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Debt-to-Income (DTI),20.7%,AsOf 2025-08-16,"Min payments: $4,595/mo; Gross income: $22,167/mo"
